"Zeitstempel","Wie oft benutzt Du elektronische Seekarten?","Wie nutzt Du elektronische Seekarten?","Welche elektronischen Seekarten sind interessant für Dich?","Was findet Ihr gut gelungen an kommerziellen Seekarten?","Was findet Ihr schlecht an kommerziellen Seekarten?","Wie oft aktualisierst Du Seekarten?","Möchtest Du die Seekarte dauerhaft ohne Einschränkungen besitzen und verwenden?","Findet ihr die Lizenzbedingungen für kommerzielle  Seekarte fair?","Findest Du den Preis für kommerzielle Seekarten für Apps angemessen?","Findest Du den Preis für kommerzielle Seekarten für Plotter angemessen?","Welche elektronische Seekarte verwendest Du?","Welche Daten sind Dir besonders wichtig in Seekarten?","Welche Funktionen sollten elektronische Seekarten können?","Was ist Dir besonders wichtig bei elektronischen Seekarten?","Möchtest Du sonst noch etwas mitteilen?"
"2025/10/31 6:28:50 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten","Seekarten fest verbunden mit Hardware","Preis","Lizenzregeln","Jedes halbe Jahr","nein","ja","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics)","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Ankerplätze;Gefahrenstellen","Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze","Ich habe keine Meinung dazu","nein"
"2025/10/31 6:32:56 PM MEZ","Gelegentlich","Vorplanung, Nachbetrachtung; aktuelle Navi eigentlich (bisher) nur mit Papierkarten","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann;Verschlüsselung möchte ich wg. potenziellen technischen Problemen nicht, bin aber gerne bereit, zu zahlen ","Layout der Karten;kenne elektronisch nur NV (und natürlich Papierkarten)","Herstellersupport;Lizenzregeln;Unklarheit in Bezug auf öffizielle Korrekturen ","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist angemessen","NV-Charts;Freie Seekarten","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Gefahrenstellen;Übereinstimmung zu offiziellen Unterlagen","Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Hervorhebung von Sperrzonen","Übereinstimmung zu offiziellen Unterlagen UND vernünftiges Lizenz-/Udatekonzept","Als Informatiker habe ich keine Angst vor Technik. Aber eine erhebliche Unlust zu den aktuellen kommerziellen Angeboten. "
"2025/10/31 6:39:16 PM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen;Das 'Nur' der ersten Option muss (man sich) weg(denken)","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Funktionalität;Orca: Schönes Layout, Garmin Bluechart: 'Geht so'-Layout","Koppelung von Hardware und Daten","Sporadisch nach Bedarf","ja","ja","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics);Elektronische Seekarten des Plotterherstellers;Orca; Garmin als BlueChart; Navionics auf dem heimischen Sofa","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Gefahrenstellen;Karten sind m.E. 'statisch', Tide, Wetter 'dynamisch', deren Mischung aber ist 'Hardware'","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Individuell gestaltbare Karten bzgl. Land- und Wassermassen;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen;Karten sind m.E. 'statisch', Tide, Wetter 'dynamisch', deren Mischung aber ist 'Hardware'","Ich habe keine Meinung dazu","Ich verstehe '3D-Kontur...' nicht. M.E. hat die Ein-/Überblendung von Wetter, Strömung, Tide, Sat... nichts mit Seekarten zu tun, sondern mit Hard/Software des Anzeigegeräts. Aber dennoch: gerne!"
"2025/10/31 6:48:04 PM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich lasse mir Borddaten anzeigen","Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Funktionalität;Preis","Lizenzregeln","Ein Mal im Jahr","ja","nein","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics);Kartenwerft Flensburg","Landgebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Interaktive Informationen für Kartenobjekte;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Hafen Luftbilder Info zur Umgebung ","nein"
"2025/10/31 6:50:42 PM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich plane meine Routen damit","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Als verschlüsselte Datei auf einem propritären Datenträger, Nutzung eingeschränkt;Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Seekarten fest verbunden mit Hardware;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates;Herstellersupport;Preis","Updatezwang;Preis","Sporadisch nach Bedarf","ja","ja","Ist angemessen","Ist angemessen","Freie Seekarten","Landgebiete;Seegebiete;Hafeninformationen;Tiefenangaben;Seezeichen;Leuchtfeuer und Lichtsignale;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur","Ich habe keine Meinung dazu","nein"
"2025/10/31 6:52:03 PM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates","Herstellersupport;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics);ORCA","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Gefahrenstellen","Interaktive Informationen für Kartenobjekte;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Reaktionsschnell / responsiv","Schönes, lobenswertes Projekt! Drücke euch die Daumen :-)"
"2025/10/31 7:01:33 PM MEZ","Ausschließlich elektronische Seekarten;Öfter in Verbindung mit Papierkarten","Ich fahre nach den geplanten Routen","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates","Updatezwang;Herstellersupport","Ein Mal im Jahr","ja","nein","Ist zu teuer","Ist zu teuer","O-Charts;Freie Seekarten","Landgebiete;Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 7:08:43 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Seekarten fest verbunden mit Hardware;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Funktionalität;Regelmäßige Updates","Preis;Lizenzregeln","Sporadisch nach Bedarf","nein","ja","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics);C-Map;Elektronische Seekarten des Plotterherstellers;Orca","Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Gefahrenstellen","Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Übersichtlichkeit und auch bei verschiedenen Zoomstufen die wichtigsten Infos","nein"
"2025/10/31 7:12:43 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten","Updatezwang;Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics);NV-Charts","Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 7:13:41 PM MEZ","Ausschließlich elektronische Seekarten;Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich lasse mir Borddaten anzeigen","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind","Layout der Karten;Regelmäßige Updates","Lädt langsam","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist zu teuer","NV-Charts","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","Ich find das super, was ihr macht."
"2025/10/31 7:16:38 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates","Preis;Lizenzregeln","Ein Mal im Jahr","ja","ja","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics);NV-Charts","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Tieden und Strömungsdaten;Hervorhebung von Sperrzonen","Zoom, Möglichkeit zum Messen (wie z.B. bei Google Maps). AIS Einblendung","nein"
"2025/10/31 7:26:24 PM MEZ","Ausschließlich elektronische Seekarten","Ich fahre nach den geplanten Routen","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates","Preis;Lizenzregeln;Nur mit bestimmter HW nutzbar","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics);O-Charts","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale","2D-Tiefenkontur;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen;Alle gefahrenstellen und seezeichen","Aktualität und Genauigkeit ","nein"
"2025/10/31 7:28:25 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen;","Als verschlüsselte Datei auf einem propritären Datenträger, Nutzung eingeschränkt;Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates;Preis","Updatezwang;Herstellersupport;Lizenzregeln","Ein Mal im Jahr","ja","nein","Ist angemessen","Ist angemessen","O-Charts;Freie Seekarten;Selbst erstellte oder eingescannte Seekarten","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Tieden- und Strömungsdaten;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Überblendeffekte zu anderen Karten wie z.B. Satellitenbildern;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze","Ich habe keine Meinung dazu","nein"
"2025/10/31 7:28:26 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen;Ich benutze sie auch in Verbindung mit einem Autopiloten","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates;Herstellersupport;Preis","Layout der Karten;Lizenzregeln","Ein Mal im Jahr","ja","ja","Ist angemessen","Ist angemessen","NV-Charts;NV-Plotterkarten","Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Gefahrenstellen","Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten","Ich habe keine Meinung dazu","nein"
"2025/10/31 7:32:55 PM MEZ","Ausschließlich elektronische Seekarten;Öfter in Verbindung mit Papierkarten","Ich plane meine Routen damit;Ich benutze sie auch in Verbindung mit einem Autopiloten","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten;Funktionalität;Regelmäßige Updates;Herstellersupport","Lizenzregeln","Jedes halbe Jahr","ja","ja","Ist angemessen","Ist angemessen","Garmin / Boating (Navionics);NV-Charts;O-Charts","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 7:34:03 PM MEZ","Öfter in Verbindung mit Papierkarten","Ich benutze sie auch in Verbindung mit einem Autopiloten;Ich lasse mir Borddaten anzeigen","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card","Layout der Karten;Funktionalität","Preis;Lizenzregeln","Ein Mal im Jahr","ja","nein","Ist angemessen","Ist angemessen","C-Map","Seegebiete;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Gefahrenstellen","2D-Tiefenkontur;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 7:37:46 PM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich lasse mir Borddaten anzeigen","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Offene Seekarten, die ich auch anderweitig verwenden kann","Layout der Karten","Preis","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","O-Charts","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Ankerplätze;Gefahrenstellen","2D-Tiefenkontur;Überlagerung von Tieden und Strömungsdaten;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 7:44:50 PM MEZ","Gelegentlich","Nur zur Anzeige des Standortes;Ich blende ","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen;Standardsierte Seekarten, die in allen Geräten nutzbar sind;Offene Seekarten, die ich auch anderweitig verwenden kann","Nix","Updatezwang;Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist angemessen","Ist angemessen","Garmin / Boating (Navionics);O-Charts;Freie Seekarten","Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Leichte Aktualisierbarkeit, guter Zoom","Eigentlich müßte bei den Fragen zu komerziellen Anbietern der jew. Hersteller angegebe werden. Eine allgemeingültige Aussage ist eigentlich nicht zu treffen. Insofern konnten die Fragen nicht sinnvoll beantwortet werden"
"2025/10/31 7:45:51 PM MEZ","Öfter in Verbindung mit Papierkarten","Nur zur Anzeige des Standortes;Ich lasse mir Borddaten anzeigen","Freie Seekarten ohne Verschlüsseliung und Nutzungs-Einschränkungen","Layout der Karten;Regelmäßige Updates;Preis","Updatezwang;Lizenzregeln","Jedes halbe Jahr","ja","nein","Ist zu teuer","Ist zu teuer","NV-Charts","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Gefahrenstellen","2D-Tiefenkontur;Einstellbare Tiefengrenze;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
"2025/10/31 7:48:12 PM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes","Seekarten fest verbunden mit Hardware","Funktionalität","Lizenzregeln","Sporadisch nach Bedarf","ja","ja","Ist angemessen","Ist zu teuer","Garmin / Boating (Navionics)","Seegebiete;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten","Überlagerung von Tieden und Strömungsdaten","Ich habe keine Meinung dazu","nein"
"2025/10/31 7:53:51 PM MEZ","Ausschließlich elektronische Seekarten","Nur zur Anzeige des Standortes;Ich fahre nach den geplanten Routen","Als verschlüsselte Datei auf einem standardisierten Datenträger wie SD-Card;Seekarten fest verbunden mit Hardware","Layout der Karten;Funktionalität","Updatezwang;Herstellersupport;Preis;Lizenzregeln","Sporadisch nach Bedarf","ja","nein","Ist zu teuer","Ist zu teuer","Garmin / Boating (Navionics)","Landgebiete;Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen","2D-Tiefenkontur;Hervorhebung von Sperrzonen","Wichtig sind die Tiefenangaben und zwar korrekt, Routing ist nice to hove aber unwichtig, Häfen sind secundär abet interssant, weil es genügen andere Quellen gibt",""
"2025/10/31 7:57:29 PM MEZ","Ausschließlich elektronische Seekarten","Ich plane meine Routen damit;Ich fahre nach den geplanten Routen","Online Live-Seekarten mit Cloudanbindung auf aktuellstem Stand;Als verschlüsselte Datei auf einem propritären Datenträger, Nutzung eingeschränkt","Layout der Karten;Funktionalität;Regelmäßige Updates;Herstellersupport","Lizenzregeln","Jedes halbe Jahr","ja","nein","Ist angemessen","Ist angemessen","TZ Maps","Seegebiete;Hafeninformationen;Tiefenangaben;Tiefenlinien;Seezeichen;Leuchtfeuer und Lichtsignale;Tieden- und Strömungsdaten;Aktualitätsdatum der Seekarte;Gefahrenstellen","2D-Tiefenkontur;Interaktive Informationen für Kartenobjekte;Überlagerung von Wetterdaten;Überlagerung von Tieden und Strömungsdaten;Hervorhebung von Sperrzonen","Ich habe keine Meinung dazu","nein"
